Comment,Designator,Footprint,LCSC,Quantity
RST,SW2,SW_PTS820,,1
10μF,C5,C_0805_2012Metric,,1
MMBT3904,Q1,SOT-23,,1
10K,R5,R_0603_1608Metric,,1
MountingHole,H1,MountingHole_2.2mm_M2,,1
1K,R12,R_0603_1608Metric,,1
BOOT,SW1,SW_PTS820,,1
1K,R9,R_0603_1608Metric,,1
10K,R13,R_0603_1608Metric,,1
10K,R3,R_0603_1608Metric,,1
10K,R1,R_0603_1608Metric,,1
ESP-12F,U1,ESP-12E,,1
SIGNAL,J3,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,,1
AMS1117-3.3,U2,SOT-223-3_TabPin2,,1
10μF,C4,CP_Radial_D4.0mm_P1.50mm,,1
MountingHole,H4,MountingHole_2.2mm_M2,,1
470μF,C3,CP_Radial_D6.5mm_P2.00mm,,1
PWR,J4,DC_barrel_jack_2.1mm,,1
MountingHole,H3,MountingHole_2.2mm_M2,,1
1K,R8,R_0603_1608Metric,,1
0.1μF,C6,C_0805_2012Metric,,1
22μF,C2,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,,1
1K,R14,R_0603_1608Metric,,1
MMBT3904,Q2,SOT-23,,1
MMBT3904,Q3,SOT-23,,1
1K,R11,R_0603_1608Metric,,1
10K,R2,R_0603_1608Metric,,1
10K,R7,R_0603_1608Metric,,1
POWER,J2,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,,1
MountingHole,H2,MountingHole_2.2mm_M2,,1
0.1μF,C1,C_0805_2012Metric,,1
10K,R10,R_0603_1608Metric,,1
10K,R4,R_0603_1608Metric,,1
1K,R6,R_0603_1608Metric,,1
UART,J1,PinHeader_1x04_P2.54mm_Vertical,,1
