Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1μF,C_0805_2012Metric,186.37,-100.33,0.0,top
C2,22μF,CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,154.94,-107.315,180.0,top
C3,470μF,CP_Radial_D6.5mm_P2.00mm,145.685,-103.505,0.0,top
C4,10μF,CP_Radial_D4.0mm_P1.50mm,163.31,-122.555,0.0,top
C5,10μF,C_0805_2012Metric,165.1,-117.155,-90.0,top
C6,0.1μF,C_0805_2012Metric,161.925,-117.155,-90.0,top
J1,UART,PinHeader_1x04_P2.54mm_Vertical,173.355,-128.905,-90.0,top
J2,POWER,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,148.59,-78.72,90.0,top
J3,SIGNAL,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,148.59,-92.035,90.0,top
J4,PWR,DC_barrel_jack_2.1mm,156.33,-128.095,90.0,top
Q1,MMBT3904,SOT-23,160.34,-101.64,90.0,top
Q2,MMBT3904,SOT-23,166.055,-101.64,90.0,top
Q3,MMBT3904,SOT-23,171.77,-101.64,90.0,top
R1,10K,R_0603_1608Metric,199.644,-99.695,90.0,top
R10,10K,R_0603_1608Metric,168.91,-106.68,135.0,top
R11,1K,R_0603_1608Metric,168.275,-96.52,0.0,top
R12,1K,R_0603_1608Metric,179.07,-103.505,0.0,top
R13,10K,R_0603_1608Metric,176.53,-106.045,0.0,top
R14,1K,R_0603_1608Metric,173.99,-96.52,0.0,top
R2,10K,R_0603_1608Metric,196.85,-99.695,90.0,top
R3,10K,R_0603_1608Metric,193.04,-127.19,-90.0,top
R4,10K,R_0603_1608Metric,190.5,-127.19,-90.0,top
R5,10K,R_0603_1608Metric,187.96,-127.19,90.0,top
R6,1K,R_0603_1608Metric,171.6725,-112.395,0.0,top
R7,10K,R_0603_1608Metric,163.143363,-106.628363,135.0,top
R8,1K,R_0603_1608Metric,162.75,-96.52,0.0,top
R9,1K,R_0603_1608Metric,178.0225,-110.49,0.0,top
SW1,BOOT,SW_PTS820,203.34,-82.55,180.0,top
SW2,RST,SW_PTS820,203.34,-74.93,180.0,top
U1,ESP-12F,ESP-12E,192.74,-113.05,-90.0,top
U2,AMS1117-3.3,SOT-223-3_TabPin2,154.94,-114.935,90.0,top
